input_file_id,hashname,input_file,timestamp
1,d408d29724f6a2d05ae6c82c392f08281202f6c6,<seed_entry>,1705582924.208998
2,e77ee7dc839742f75d5bc27969f1441e89027558,<seed_entry>,1705582924.208998
3,9266ad23365e0e0dfaafb1999d32e26faff4ccd2,"id:240,fuzzer:aflfast,instance:1,orig:id:000039,src:000036+000038,op:splice,rep:2",1705583669.1272595
4,f768cb967049fa98809e29a7314002d11a3b2eb8,"id:3,fuzzer:afl,instance:0,orig:id:000003,src:000000,op:havoc,rep:4,+cov",1705582927.2204435
5,617193754d46f35de83b9cdf476c6b1f4ed7ebaa,"id:214,fuzzer:aflfast,instance:1,orig:id:000049,src:000046,op:havoc,rep:2",1705583669.1232595
6,ea2858614a8f3447f4c679345773e2dabe366984,"id:113,fuzzer:redqueen,instance:0,orig:id:000046,src:000030,time:185944,execs:1286,op:its,rep:1,+cov",1705583117.0382268
7,1a13329ec429fdde7e49d34a0f4fbd0de94b70c0,"id:211,fuzzer:aflfast,instance:1,orig:id:000010,src:000006,op:havoc,rep:2,+cov",1705583669.1232595
8,5c176a6bc5c1f18f889377cb7fb76ac707c9e309,"id:243,fuzzer:aflfast,instance:1,orig:id:000028,src:000024,op:havoc,rep:4",1705583669.1272595
9,6ca87f63135c311d5212e8cb2d5ced18fb1c9b4c,"id:224,fuzzer:aflfast,instance:1,orig:id:000032,src:000024+000029,op:splice,rep:2",1705583669.1232595
10,1a52f23f2a63ec21d2d910cf7d9531e73b37c9f9,"id:26,fuzzer:radamsa,instance:0,orig:id:000003,src:000000+000002,time:8978,execs:877,op:havoc,rep:8,+cov",1705582951.280672
11,ccea8f11b5441baba50c2e8bd406cb42e790ec2d,"id:128,fuzzer:lafintel,instance:0,orig:id:000081,src:000079,time:221636,execs:58819,op:havoc,rep:16,+cov",1705583184.8308568
12,d8a55b0d0aa20fe67b9f0745ca0847edb6e2315a,"id:69,fuzzer:aflfast,instance:0,orig:id:000036,src:000018+000030,op:splice,rep:16",1705583114.562204
13,5675d605fcf6f2afd0402e34d48344a332e5a00b,"id:225,fuzzer:aflfast,instance:1,orig:id:000055,src:000050+000051,op:splice,rep:4",1705583669.1232595
14,07a69b0fa106175e206c53639896d7ea316f49c4,"id:47,fuzzer:radamsa,instance:0,orig:id:000024,src:000007+000003,time:112890,execs:27797,op:radamsa-mutator.so,rep:2,+cov",1705583071.4138029
15,44028818d93ca04fbe26b7a5c35baceec070b35d,"id:98,fuzzer:redqueen,instance:0,orig:id:000042,src:000030,time:185902,execs:1082,op:its,rep:1,+cov",1705583117.034227
16,6bef18e3a34ae0d5ef65c4ce126b5f8ed7349709,"id:219,fuzzer:aflfast,instance:1,orig:id:000050,src:000046+000037,op:splice,rep:8",1705583669.1232595
17,73306f3451eeac9d62a5379eaeeffde904935e38,"id:75,fuzzer:redqueen,instance:0,orig:id:000054,src:000030,time:186060,execs:1838,op:its,rep:1,+cov",1705583117.034227
18,9b614f0c1c9977a684b5e0abff3e358846e2d6e1,"id:145,fuzzer:afl,instance:0,orig:id:000102,src:000040+000012,op:splice,rep:32,+cov",1705583299.3799217
